sentence_text,aspects,polarity,top_aspect_score,aspect_scores,overridden
A proper retreat: yoga in the morning and an excellent spa in the afternoon.,wellness_spa,0.9396,0.9757,cleanliness:0.01;service:0.00;luxury:0.06;value:0.04;location_central:0.01;local_culture:0.01;safety:0.00;quietness:0.02;nightlife:0.00;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.98;beach_access:0.01;food_dining:0.01;accessibility:0.01,False
"Affordable and comfortable, a smart choice for a tighter budget.",value,0.8138,0.9989,cleanliness:0.00;service:0.00;luxury:0.00;value:1.00;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.02;beach_access:0.02;food_dining:0.04;accessibility:0.00,False
"As a solo traveler I felt very secure here, both in the hotel and the surrounding streets.",safety,0.8729,0.9972,cleanliness:0.00;service:0.03;luxury:0.05;value:0.00;location_central:0.03;local_culture:0.07;safety:1.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.00;food_dining:0.00;accessibility:0.01,False
Booked this for a short trip.,general,0.1599,0.1437,cleanliness:0.01;service:0.00;luxury:0.01;value:0.07;location_central:0.01;local_culture:0.02;safety:0.00;quietness:0.11;nightlife:0.01;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.02;beach_access:0.14;food_dining:0.02;accessibility:0.02,False
Breakfast was overpriced at $45 and surprisingly basic.,value|food_dining,-0.905,0.9924,cleanliness:0.01;service:0.00;luxury:0.00;value:0.99;location_central:0.00;local_culture:0.01;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.99;accessibility:0.00,False
Buzzing area after dark with plenty of lively spots within walking distance.,nightlife|location_central,0.9005,0.9986,cleanliness:0.00;service:0.00;luxury:0.00;value:0.00;location_central:0.92;local_culture:0.94;safety:0.01;quietness:0.00;nightlife:1.00;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.00;accessibility:0.00,True
Called itself five-star but the service felt distinctly mid-range.,service|luxury,-0.4246,0.3828,cleanliness:0.01;service:0.01;luxury:0.00;value:0.05;location_central:0.00;local_culture:0.00;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.00;business_facilities:0.01;wellness_spa:0.05;beach_access:0.01;food_dining:0.38;accessibility:0.00,True
Chose this hotel based on the reviews.,general,-0.0311,0.0655,cleanliness:0.02;service:0.01;luxury:0.07;value:0.05;location_central:0.01;local_culture:0.00;safety:0.00;quietness:0.04;nightlife:0.00;family_friendly:0.01;business_facilities:0.00;wellness_spa:0.01;beach_access:0.01;food_dining:0.00;accessibility:0.01,False
Constant street noise made it hard to sleep.,quietness,-0.8207,0.9823,cleanliness:0.00;service:0.00;luxury:0.00;value:0.00;location_central:0.00;local_culture:0.09;safety:0.07;quietness:0.98;nightlife:0.02;family_friendly:0.00;business_facilities:0.00;wellness_spa:0.00;beach_access:0.01;food_dining:0.00;accessibility:0.00,False
Cramped rooms and nothing for the little ones to do.,family_friendly,-0.8526,0.3324,cleanliness:0.05;service:0.01;luxury:0.00;value:0.00;location_central:0.00;local_culture:0.02;safety:0.00;quietness:0.00;nightlife:0.00;family_friendly:0.33;business_facilities:0.00;wellness_spa:0.01;beach_access:0.00;food_dining:0.00;accessibility:0.02,True
